Rank,Name,Title,Profile Link
1,LinkedIn Member,Software Developer and Engineering Leader,https://www.linkedin.com/in/...
2,LinkedIn Member,Software Developer @ OneOakFlow | MSCS @ ASU | Ex-Senior Software Engineer @ Micro Focus,https://www.linkedin.com/in/...
3,LinkedIn Member,Software Engineer | Full Stack Developer,https://www.linkedin.com/in/...
4,LinkedIn Member,Software Developer,https://www.linkedin.com/in/...
5,LinkedIn Member,Software Developer @ Encore Software Services | Graduate Research Assistant @ University of Central Missouri | Master's in Computer Science,https://www.linkedin.com/in/...
6,Not Available,Software Developer,Not Available
7,Not Available,Software Developer @Amazon,Not Available
8,Kello Guteta,Software Developer,https://www.linkedin.com/in/kello-guteta-b92611b1
9,Not Available,Software Engineer at Intel,Not Available
10,Not Available,Software Developer Intern at Sandhills Global,Not Available
